Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ856Б|n-p-n|75* Вт|>=10|700|5|10 А; 12* А|<=3 мА (600 В)|10...60* (5 В; 5 А)|<=100 (90 В)|<=0,3|-|<=2* мкс
КТ856А-1|n-p-n|50* Вт|10|800|5|10 А; 12* А|<=3 мА (800 В)|10...60* (5 В; 5 А)|<=100 (90 В)|<=0,3|-|<=2* мкс
КТ856Б-1|n-p-n|50* Вт|10|600|5|10 А; 12* А|<=3 мА (600 В)|10...60* (5 В; 5 А)|<=100 (90 В)|<=0,3|-|<=2* мкс
КТ857А|n-p-n|60* Вт|>=10|250|6|7 (10*) А|<=5 мА (250 В)|>=7,5* (1 В; 3 А)|-|<=0,33|-|<=2500*
КТ858А|n-p-n|60* Вт|>=10|400|6|7 (10*) А|<=1 мА (400 В)|>=10* (5 В; 5 А)|-|<=0,2|-|<=2500*
КТ859А|n-p-n|40* Вт|>=10|800|10|3 (4*) А|<=1 мА (800 В)|>=10* (10 В; 1 А)|-|<=1,5|-|<=3500*
КТ862Б|n-p-n|50* Вт|>=20|450|5|15 А; 25* А|<=2,5 мА (300 В)|12...100* (5 В; 8 А)|<=300 (30 В)|<=0,13|-|<=1000*
КТ862В|n-p-n|50* Вт|>=20|600 (350**)|5|10 А; 15* А|<=3 мА (600 В)|12...50* (5 В; 5 А)|<=250 (10 В)|<=0,29|-|<=2000*
КТ862Г|n-p-n|50* Вт|>=20|600 (400**)|5|10 А; 15* А|<=3 мА (600 В)|12...50* (5 В; 5 А)|<=250 (10 В)|<=0,29|-|<=2000*
КТ863А|n-p-n|50* Вт|>=4|30|5|10 А|<=1 мА (30 В)|>=100* (2 В; 5 А)|-|<=0,06|-|-
КТ863Б|n-p-n|50* Вт|>=4|30|5|10А|<=1 мА (30 В)|>=70* (2 В; 5 А)|-|<=0,1|-|-
КТ863В|n-p-n|50* Вт|>=4|160|5|10 А|<=1 мА (30 В)|>=70* (2 В; 5 А)|-|<=0,1|-|-
КТ864А|n-p-n|100* Вт|>=15|200|6|10 (15*) А|<=100 (200 В)|40...200* (4 В; 2 А)|<=300 (5 В)|<=0,6|-|-
КТ865А|p-n-p|100* Вт|>=15|200|6|10 (15*) А|<=100 (200 В)|40...200* (4 В; 2 А)|<=300 (5 В)|<=0,3|-|-
КТ866А|n-p-n|30* Вт|25|200; 100**|4|15 А; 20* А|<=25 мА (100 В)|>=15* (10 В; 10 А)|<=400 (10 В)|<=0,15|-|<=450**
КТ866Б|n-p-n|30* Вт|25|200; 80**|4|15 А; 20* А|<=25 мА (100 В)|>=15* (10 В; 10 А)|<=400 (10 В)|<=0,15|-|<=450**
КТ867А|n-p-n|100* Вт|>=25|200|7|25 А (40* А)|<=3 (250 В)|>=10* (5 В; 20 А)|<=400(10 В)|<=0,075|-|1,3* мкс
КТ868А|n-p-n|70* Вт|>=8|900|5|6 (8*) А|<=3 мА (900 В)|10...60* (5 В; 0,6 А)|<=100 (80 В)|<=0,75|-|<=3500*
КТ868Б|n-p-n|70* Вт|>=8|750|5|6 (8*) А|<=3 мА (750 В)|10...100* (5 В; 0,6 А)|<=100 (80 В)|<=0,75|-|<=3500*
КТ872А|n-p-n|100* Вт|>=7|1500; 700*|6|8 (15*) А|<=1 мА (1500 В)|>=6 (5 В; 30 мА)|<=125 (15 В)|<=0,22|-|<=7500*
КТ872Б|n-p-n|100* Вт|>=7|1500; 700*|6|8 (15*) А|<=1 мА (1500 В)|>=6 (5 В; 30 мА)|<=125 (15 В)|<=1,1|-|<=7500*
КТ872В|n-p-n|100* Вт|>=7|1200; 600*|6|8 (15*) А|<=1 мА (1200 В)|>=6 (5 В; 30 мА)|<=125 (15 В)|<=1,1|-|<=7500*
КТ874А|n-p-n|75* Вт|>=20|150; 100* (0,01к)|5|30 А; 50* А|<=3 мА (150 В)|15...50* (5 В; 30 А)|200 (100 В)|<=0,04|-|0,5* мкс
КТ874Б|n-p-n|75* Вт|>=20|150; 120* (0,01к)|5|30 А; 50* А|<=3 мА (150 В)|10...40* (5 В; 30 А)|200 (100 В)|<=0,04|-|0,5* мкс
КТ878А|n-p-n|150* Вт|>=10|900* (0,01 к)|5|25 (50*) А|<=3 мА (900 В)|12...50* (5 В; 10 А)|<=500 (10 В)|<=0,1|-|<=3000*
КТ878Б|n-p-n|2 Вт; 100* Вт|>=10|800* (0,01 к)|6|25 (50*) А|<=3 мА (800 В)|12...50* (5 В; 10 А)|<=500 (10 В)|<=0,1|-|<=3000*
КТ878В|n-p-n|2 Вт; 100* Вт|>=10|600* (0,01 к)|6|25 (50*) А|<=3 мА (600 В)|12...50* (5 В; 10 А)|<=500 (10 В)|<=0,1|-|<=3000*
КТ879А|n-p-n|250* Вт|>=10|200|6|50 А; (75*) А|<=3 мА (200 В)|>=20* (4 В; 20 А)|<=800 (10 В)|<=0,06|-|1,2* мкс
КТ879Б|n-p-n|250* Вт|>=10|200|6|50 А; (75*) А|<=3 мА (200 В)|>=15* (4 В; 20 А)|<=800 (10 В)|<=0,1|-|1,2* мкс
КТ885А|n-p-n|150* Вт|>=15|400* (0,01 к)|5|40 (60*) А|<=1 мА (500 В)|>=12* (5 В; 20 А)|<=200 (100 В)|<=0,08|-|<=2000*
КТ885Б|n-p-n|150* Вт|>=15|500* (0,01 к)|5|40 (60*) А|<=1 мА (500 В)|>=12* (5 В; 20 А)|<=200 (100 В)|<=0,08|-|<=2000*
КТ886А-1|n-p-n|75* Вт|>=10,5|1400* (0,01к)|7|10 А; (15*) А|<=0,1 мА (1000 В)|6...25* (5 В; 4 А)|<=135 (10 В)|<=0,25|-|2,5* мкс
КТ886Б-1|n-p-n|75* Вт|>=10,5|1000* (0,01к)|7|10 А; (15*) А|<=0,5 мА (1000 В)|6...25* (5 В; 4 А)|<=135 (10 В)|<=0,25|-|2,5* мкс
КТ887А|p-n-p|3 Вт; 75* Вт|>=15|700|5|2 А; (5*) А|<=0,25 мА (700 В)|20...120* (9 В; 1 А)|350 (10 В)|<=1,5|-|<=5* мкс
КТ887Б|p-n-p|3 Вт; 75* Вт|>=15|600|5|2 А; (5*) А|<=0,25 мА (600 В)|20...120* (9 В; 1 А)|350 (10 В)|<=1,5|-|<=5* мкс
КТ888А|p-n-p|0,8 Вт; 7* Вт|>=15|900|7|100 (200*)|<=10 (900 В)|30...120* (30 В; 30 мА)|-|<=50|-|<=3* мкс
КТ888Б|p-n-p|0,8 Вт; 7* Вт|>=15|600|7|100 (200*)|<=10 (600 В)|30...120* (30 В; 30 мА)|-|<=50|-|<=3* мкс
КТ890А|n-p-n|120* Вт|40|650|5|20 А|0,5** мА (350 В)|>=200* (5 В; 5 А)|-|<=0,23|-|-
КТ890Б|n-p-n|120* Вт|40|500|5|20 А|0,25** мА (350 В)|>=200* (5 В; 5 А)|-|<=0,22|-|-
КТ890В|n-p-n|120* Вт|40|350|5|20 А|0,25** мА (350 В)|>=200* (5 В; 5 А)|-|<=0,2|-|-
КТ892А|n-p-n|100* Вт|8|350* (0,01 к)|5|15 (30*) А|<=3 мА (350 В)|>=300* (10 В; 5 А)|-|<=0,225|-|tсп<=4 мкс
КТ892Б|n-p-n|100* Вт|8|400* (0,01 к)|5|15 (30*) А|<=3 мА (400 В)|>=300* (10 В; 5 А)|-|<=0,225|-|tСП<=4 мкс
КТ892В|n-p-n|100* Вт|8|300* (0,01 к)|5|15 (30*) А|<=3 мА (300 В)|>=300* (10 В; 5 А)|-|<=0,225|-|tсп<=4 мкс
КТ893А|n-p-n|120* Вт|-|800* (0,01 к)|5|6 А; 8* А|<=1* мА (800 В)|10...20*|-|<=0,б|-|<=2* мкс
КТ896А|p-n-p|2 Вт; 125* Вт|>=4|90* (1к)|5|20 А (30* А)|-|750...18000* (10 В; 5 А)|<=700 (10 В)|<=0,4|-|<=4500**
КТ896Б|p-n-p|2 Вт; 125* Вт|>=4|60* (1к)|5|20 А (30* А)|-|750...18000* (10 В; 5 А)|<=700 (10 В)|<=0,4|-|<=4500**
КТ897А|n-p-n|3 Вт; 150* Вт|>=10|350|5|20 А (30* А)|<=250 (350 В)|>=400* (5 В; 5 А)|-|<=0,23|-|-
КТ897Б|n-p-n|3 Вт; 150* Вт|>=10|200|5|20 А (30* А)|<=250 (200 В)|<=400* (5 В; 5 А)|-|<=0,23|-|-
КТ898А|n-p-n|1,5 Вт; 125* Вт|>=10|350|5|20 А (30* А)|-|>=400* (5 В; 5 А)|-|<=0,23|-|-
КТ898Б|n-p-n|1,5 Вт; 125* Вт|>=10|200|5|20 А (30* А)|-|>=400* (5 В; 5 А)|-|<=0,23|-|-
КТ898А-1|n-p-n|1,5 Вт; 60* Вт|>=10|350|5|20 А (30* А)|-|>=400* (5 В; 5 А)|-|<=0,23|-|-
КТ898Б-1|n-p-n|1,5 Вт; 60* Вт|>=10|200|5|20 А (30* А)|-|>=400* (5 В; 5 А)|-|<=0,23|-|-
КТ899А|n-p-n|40* Вт|>=8|160|5|8 А (15* А)|<=1 (160 В)|>=1000* (5 В; 5 А)|-|<=0,26|-|-
КТ902А|n-p-n|30* Вт (50°С)|>=35|65 (110 имп.)|5|5 А|<=10 мА (70 В)|>=15* (10 В; 2 А)|<=300 (10 В)|<=1; >=7**|>=20** (10 МГц)|-
КТ902АМ|n-p-n|30* Вт (50°С)|>=35|65 (110 имп.)|5|5 А|<=10 мА (70 В)|>=15* (10 В; 2 А)|<=300 (10 В)|<=1; >=7**|>=20** (10 МГц)|-
КТ903А|n-p-n|30* Вт (60**)|>=120|60 (80 имп.)|4|3 (5*) А|<=10* мА (70 В)|15...70* (10 В; 2 А)|<=180 (30 В)|<=1,25; >=3**|>=10** (50 МГц)|-
КТ903Б|n-p-n|30* Вт (60**)|>=120|60 (80 имп.)|4|3 (5*) А|<=10* мА (70 В)|40...180* (10 В; 2 А)|<=180 (30 В)|<=1,25; >=3**|>=10** (50 МГц)|-
КТ904А|n-p-n|5* Вт (40°С)|>=350|60* (0,1 к)|4|0,8 (1,5*) А|<=1,5* мА (60 В)|>=10* (5 В; 0,25 А)|<=12 (28 В)|<=5; >=2,5**|>=3** (400 МГц)|<=15
КТ904Б|n-p-n|5* Вт (40°С)|>=300|60* (0,1 к)|4|0,8 (1,5*) А|<=1,5* мА (60 В)|>=10* (5 В; 0,25 А)|<=12 (28 В)|<=5; >=2**|>=2,5** (400 МГц)|<=20
КТ907А|n-p-n|13,5* Вт|>=350|60* (0,1 к)|4|1 (3*) А|<=3* мА (60 В)|>=10* (5 В; 0,4 А)|<=20 (30 В)|<=4; >=2**|>=8** (400 МГц)|<=15
КТ907Б|n-p-n|13,5* Вт|>=300|60* (0,1к)|4|1 (3*) А|<=3* мА (60 В)|>=10* (5 В; 0,4 А)|<=20 (30 В)|<=4; >=1,5**|>=6** (400 МГц)|<=20
КТ908А|n-p-n|50* Вт (50°С)|>=30|100* (0,01к)|5|10 А|<=25* мА (100 В)|8...60* (2 В; 10 А)|<=700 (10 В)|<=0,15|-|<=2600*
КТ908Б|n-p-n|50* Вт (50°С)|>=30|60* (0,25к)|5|10А|<=50* мА (60 В)|>=20* (4 В; 4 А)|<=700 (10 В)|<=0,25|-|<=2600*
КТ909А|n-p-n|27* Вт|>=350|60* (0,01 к)|3,5|2 (4*) А|30* мА (60 В)|-|<=30 (28 В)|<=0,3; >=1,7**|20** (500 МГц)|<=20
КТ909Б|n-p-n|54* Вт|>=500|60* (0,01 к)|3,5|4 (8*) А|60* мА (60 В)|-|<=60 (28 В)|<=0,18; >=1,75**|40** (500 МГц)|<=20
КТ909В|n-p-n|27* Вт|>=300|60* (0,01 к)|3,5|2 (4*) А|30* мА (60 В)|-|<=35 (28 В)|<=0,3; >=1,2**|15** (500 МГц)|<=30
КТ909Г|n-p-n|54* Вт|>=450|60* (0,01к)|3,5|4 (8*) А|60* мА (60 В)|-|<=60 (28 В)|<=0,18; >=1,5**|>=30** (500 МГц)|<=30
КТ9101АС|n-p-n|128* Вт|>=350|50|4|7 А|<=30 мА (50 В)|-|<=150 (28 В)|>=5,5**|>=100** (0,7 ГГц)|<=45
КТ9104А|n-p-n|10** Вт|>=б00|50|4|1,5 А|<=10 мА (50 В)|-|<=20 (28 В)|>=8**|>=5** (0,7 ГГц)|<=20
КТ9104Б|n-p-n|23** Вт|>=600|50|4|5 А|<=20 мА (50 В)|-|<=40 (28 В)|>=7**|>=20** (0,7 ГГц)|<=20
КТ9105АС|n-p-n|133* Вт|>=660|50* (0,01к)|4|16 A|<=120* мА (50 B)|<=160* (5 В; 0,1 А)|<=240 (28 В)|>=5**|>=100** (0,5 ГГц)|<=12
КТ9109А|n-p-n|1120** Вт|>=360|65|4|29* A|<=60 мА (65 B)|-|<=140 (50 В)|>=3,5** (820 МГц)|>=500** (820 МГц)|<=10
КТ9111А|n-p-n|200** Вт|>=200|120|4|10 A|<=100 мА (100 B)|>=10* (10 В; 5 А)|<=150 (50 В)|>=10**|>=150** (80 МГц)|-
КТ9116А|n-p-n|46* Вт|>=240|55* (0,01к)|4|4 A|<=30 мА (55 B)|>=20* (5 В; 0,5 А)|<=55 (28 В)|>=25**|>=5** (225 МГц)|<=25
КТ9116Б|n-p-n|76,7* Вт|>=230|55* (0,01к)|4|10 A|<=100 мА (55 B)|>=20* (5 В; 0,5 А)|<=155 (28 В)|>=10**|>=15** (225 МГц)|<=30
КТ911А|n-p-n|3* Вт|>=750|55|3|0,4 A|<=5 мА (55 B)|-|<=10(28 В)|<=5; >=2,5**|>=1** (1,8 ГГц)|<=25
КТ911Б|n-p-n|3* Вт|>=600|55|3|0,4 A|<=5 мА (55 B)|-|<=10 (28 В)|<=5; >=2,6**|>=1** (1 ГГц)|<=25
КТ911В|n-p-n|3* Вт|>=750|40|3|0,4 A|<=5 мА (40 B)|-|<=10 (28 В)|<=5; >=2,2**|>=0,8** (1,8 ГГц)|<=50
КТ911Г|n-p-n|3* Вт|>=600|40|3|0,4 A|<=5 мА (40 B)|-|<=10 (28 В)|<=5; >=2,2**|>=0,8** (1 ГГц)|<=100
КТ912А|n-p-n|30* Вт (85°С)|>=90|70* (0,01к)|5|20 A|<=50* мА (70 B)|10...50* (10 В; 5 А)|<=200 (27 В)|<=0,12; >=10**|>=70** (30 МГц)|-
КТ912Б|n-p-n|30* Вт (85°С)|>=90|70* (0,01к)|5|20 A|<=50* мА (70 B)|20...100* (10 В; 5 А)|<=200 (27 В)|<=0,12|>=70** (30 МГц)|-
КТ913А|n-p-n|4,7* Вт (55°С)|>=900|55|3,5|6,5 (1*) A|<=25* мА (55 B)|>=10* (10 В; 0,5 А)|<=б (28 В)|<=1,1; >=2**|>=3** (1 ГГц)|<=18
КТ913Б|n-p-n|8* Вт (70°С)|>=900|55|3,5|1 (2*) A|<=50* мА (55 B)|>=10* (10 В; 0,5 А)|<=12 (28 В)|<=1,1; >=2**|>=5** (1 ГГц)|<=15
КТ913В|n-p-n|12* Вт|>=900|55|3,5|1 (2*) A|<=50* мА (55 B)|>=10* (10 В; 0,5 А)|<=14 (28 В)|<=1,1; >=2**|>=10** (1 ГГц)|<=15
КТ9120А|p-n-p|50* Вт|>=50|45* (0,1к)|5|12 (30*) А|<=0,1 мА (45 В)|>=40* (1 В; 4 А)|<=1900 (10 В)|<=0,75|-|<=500*
КТ9121А|n-p-n|92** Вт|-|42|3|9,2* А|<=15 мА (42 В)|-|-|>=6,4**|>=35** (2,3...2,7 ГГц)|-
КТ9121Б|n-p-n|46** Вт|-|42|3|4,6* А|<=7,5 мА (42 В)|-|-|>=6,4**|>=17** (2,3...2,7 ГГц)|-
КТ9121В|n-p-n|11,5** Вт|-|42|3|1,15* А|<=2,5 мА (42 В)|-|-|>=6,4**|>=4** (2,3...2,7 ГГц)|-
КТ9121Г|n-p-n|130** Вт|-|42|3|13* А|<=22 мА (42 В)|-|-|>=12,5**|>=50** (2,3...2,7 ГГц)|-
КТ9125АС|n-p-n|60* Вт (40°С)|>=660|55* (10 Ом)|4|4 А|<=60* мА (55 В)|<=110* (5 В; 0,5 А)|<=70 (28 В)|>=6** (500 МГц)|>=50** (500 МГц)|<=20
КТ9126А|n-p-n|330* Вт (50°С)|>=100|100* (0,01к)|4|30 А|<=200* мА (100 В)|>=10* (10 В; 5 А)|<=500 (50 В)|>=13**; <=0,05|>=500** (1,5 МГц)|-
КТ9127А|n-p-n|1151** Вт|-|65|3|38* А|<=60* мА (65 В)|-|-|>=5,6**|>=550** (1,025...1,15 ГГц)|-
КТ9127Б|n-p-n|524** Вт|-|65|3|19* А|<=30* мА (65 В)|-|-|>=б,2**|>=250** (1,025...1,15 ГГц)|-
КТ9128АС|n-p-n|180* Вт (50°С)|>=200|50* (10 Ом)|4|18 А|<=100* мА (50 В)|<=100* (5 В; 0,5 А)|<=430 (28 В)|7** (175 МГц)|>=200** (175 МГц)|<=30
КТ9130А|n-p-n|10* Вт|>=200|250|6|150|<=1 мкА (250 В)|10...45 (9 В; 20 мА)|<=6 (10 В)|<=50|-|-
КТ9133А|n-p-n|130* Вт|>=225|55* (0,01 к)|4|16 А|<=200* мА (55 В)|-|<=160 (28 В)|>=7,5**|>=30** (225 МГц)|<=30
КТ9134А|n-p-n|2600** Вт|>=600|50|3|78* А|<=120мА (50 В)|-|-|>=6**|>=1000** (1,4...1,6 ГГц)|-
КТ9134Б|n-p-n|2100** Вт|>=600|50|3|71* А|<=120мА (50 В)|-|-|>=6**|>=800** (1,4...1,6 ГГц)|-
КТ9136АС|n-p-n|700** Вт|>=300|60|4|30* А|<=140 мА (60 В)|-|<=260 (45 В)|>=7** (500 МГц)|>=500** (500 МГц)|<=20
КТ914А|p-n-p|7* Вт|>=300|65|4|0,8 (1,5* А)|2* мА (65 В)|10...60* (5 В; 0,25 А)|<=12 (28 В)|<=12|>=2,5** (400 МГц)|<=20
КТ9141А|n-p-n|3* Вт|>=1 ГГц|120|3|300|<=100 (120 В)|15...45* (5 В; 50 мА)|<=2,5 (10 В)|-|-|-
КТ9141А-1|n-p-n|5* Вт|>=1 ГГц|120|3|400|<=0,1 (120 В)|15...45* (5 В; 50 мА)|<=2,5 (10 В)|-|-|-
КТ9142А|n-p-n|72* Вт|-|55|3|15 А|<=100мА (55 В)|>=10 (5 В; 0,5 А)|<=70 (28 В)|>=6**|50** (860 МГц)|-
КТ9143А|p-n-p|3* Вт|>=1500|75|3|-|<=1* мА (50 В)|>=20* (5 В; 50 мА)|<=3 (10 В)|-|-|-
КТ9143Б|p-n-p|3* Вт|>=1500|75|3|-|<=1* мА (50 В)|20...60* (5 В; 50 мА)|<=3 (10 В)|-|-|-
КТ9143В|p-n-p|3* Вт|>=1000|75|3|-|<=1* мА (50 В)|>=20* (5 В; 50 мА)|<=4 (10 В)|-|-|-
КТ9144А-5|p-n-p|5* Вт|>=30|500|5|50 (100*)|<=1 (500 В)|>=20* (10 В; 10 мА)|-|<=100|-|-
КТ9145А-5|n-p-n|5* Вт|>=50|500|5|50 (100*)|<=1 (500 В)|20...150 (10 В; 10 мА)|-|<=100|-|-
КТ9144А-9|p-n-p|0,3 Вт; 1* Вт|>=30|500|5|50 (100*)|<=1 (500 В)|20...150 (10 В; 10 мА)|-|<=60|-|-
КТ9145А-9|n-p-n|0,3 Вт; 1* Вт|>=50|500|5|50 (100*)|<=1 (500 В)|20...150 (10 В; 10 мА)|-|<=100|-|-
КТ9146А|n-p-n|380** Вт|-|50|3|19* А|<=50 мА (50 В)|-|-|>=б**|>=200** (1,55 ГГц)|-
КТ9146Б|n-p-n|260** Вт|-|50|3|13* А|<=33 мА (50 В)|-|-|>=6**|>=130** (1,55 ГГц)|-
КТ9146В|n-p-n|65** Вт|-|50|3|3,3* А|<=8 мА (50 В)|-|-|>=7**|>=35** (1,55 ГГц)|-
КТ9150А|n-p-n|50* Вт|-|40* (10 Ом)|4|5 А|<=25* мА (40 В)|>=10* (5 В; 0,5 А)|<=42 (25 В)|>=8,5** (860 МГц)|ф8** (860 МГц)|-
КТ9151А|n-p-n|280* Вт|>=230|55|3|33 А|<=150* мА (55 В)|>=10* (5 В; 0,5 А)|<=350 (28 В)|>=7** (230 МГц)|>=200** (230 МГц)|-
КТ9152А|n-p-n|246* Вт|-|55|3|24 А|<=200 мА (55 В)|>=10* (5 В; 0,5 А)|<=100 (28 В)|>=6** (860 МГц)|>=100** (860 МГц)|-
КТ9153БС|n-p-n|94* Вт|-|50* (10 Ом)|4|10 А|<=60* мА (50 В)|>=10* (5 В; 0,5 А)|<=66 (28 В)|>=7**|>=50** (615...840 МГц)|-
КТ9155А|n-p-n|43* Вт|-|50|3|4 А|<=25* мА (50 В)|>=10* (5 В; 0,5 А)|<=35 (28 В)|>=6,5** (860 МГц)|>=15** (860 МГц)|-
КТ9155Б|n-p-n|100* Вт|-|50|3|15 А|<=25* мА (50 В)|>=10* (5 В; 0,5 А)|<=35 (28 В)|>=6** (860 МГц)|>=50** (860 МГц)|-
КТ9155В|n-p-n|181* Вт|-|50|3|24 А|<=25* мА (50 В)|>=10* (5 В; 0,5 А)|<=35 (28 В)|>=5** (860 МГц)|>=100** (860 МГц)|-
КТ9156БС|n-p-n|94* Вт|-|50* (10 Ом)|3|10 А|<=60* мА (50 В)|>=10* (5 В; 0,5 А)|<=66 (28 В)|>=6** (1 ГГц)|>=50** (1 ГГц)|-
КТ9157А|n-p-n|1,2 Вт; 10* Вт|>=100|30|5|5 (10*) А|<=10 (30 В)|140...450* (1 В; 0,5 А)|<=150 (5 В)|<=0,25|-|-
КТ9160А|n-p-n|465* Вт (50°С)|>=60|140* (10 Ом)|4|30 А|<=200* мА (140 В)|10...30* (10 В; 30 А)|<=700 (60 В)|>=15** (1,5 МГц)|>=700** (1,5 МГц)|-
КТ9160Б|n-p-n|465* Вт (50°С)|>=60|140* (10 Ом)|4|30 А|<=200* мА (140 В)|20...50* (10 В; 30 А)|<=700 (60 В)|>=15** (1,5 МГц)|>=700** (1,5 МГц)|-
КТ9160В|n-p-n|465* Вт (50°С)|>=60|140* (10 Ом)|4|30 А|<=200* мА (140 В)|40...90* (10 В; 30 А)|<=700 (60 В)|>=15** (1,5 МГц)|>=700** (1,5 МГц)|-
КТ9161АС|n-p-n|700* Вт|-|60|4|25 А|<=280 мА (60 В)|>=20* (5 В; 0,5 А)|-|>=7** (500 МГц)|>=500** (500 МГц)|-
КТ9164А|n-p-n|-|-|-|-|-|-|-|-|>=6** (1090 МГц)|>=300** (1090 МГц)|-
КТ9166А|n-p-n|60* Вт|-|45|-|15 А|-|>=50* (1 В; 4 А)|-|<=0,06|-|-
КТ916А|n-p-n|30* Вт|>=1100|55* (0,01к)|3,5|2 (4*) А|<=25* мА (55 В)|35* (5 В; 0,25 А)|<=20 (30 В)|<=0,8; >=2,25**|>=20** (1 ГГц)|<=10
КТ916Б|n-p-n|30* Вт|>=900|55|3,5|2 (4*) А|<=40* мА (55 В)|35* (5 В; 0,25 А)|<=20 (30 В)|<=0,8; >=1,85**|>=16** (1 ГГц)|<=10
КТ9173А|n-p-n|140* Вт|-|55* (10 Ом)|4|14 А|<=250* мА (55 В)|>=20* (5 В; 0,5 А)|<=230 (28 В)|>=10** (230 МГц)|>=50** (225 МГц)|-
КТ9174А|n-p-n|400* Вт|-|55* (10 Ом)|3|30 А|<=150* мА (55 В)|-|-|>=4** (230 МГц)|>=300** (230 МГц)|-
КТ9176А|p-n-p|10* Вт|>=90|40|5|3 (7*) А|<=1 (30 В)|60...400* (2 В; 1 А)|45 (10 В)|<=0,25|-|-
КТ9177А|n-p-n|10* Вт|>=90|40|5|3 (7*) А|<=1 (30 В)|60...400* (2 В; 1 А)|-|<=0,25|-|-
КТ9180А|p-n-p|1,5 Вт; 12,5*Вт|>=100|40|5|3 А (7* А)|<=1 (30 В)|60...400* (2 В; 1 А)|-|<=0,25|-|-
КТ9180Б|p-n-p|12,5*Вт|>=100|60|7|3 А (7* А)|<=1 (60 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ9180В|p-n-p|12,5*Вт|>=100|80|7|3 А (7* А)|<=1 (80 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ9180Г|p-n-p|12,5*Вт|>=100|100|7|3 А (7* А)|<=1 (100 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ9181А|n-p-n|12,5*Вт|>=100|40|5|3 А (7* А)|<=1 (30 В)|60...400* (2 В; 1 А)|-|<=0,25|-|-
КТ9181Б|n-p-n|12,5*Вт|>=100|60|7|3 А (7* А)|<=1 (60 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ9181В|n-p-n|12,5*Вт|>=100|80|7|3 А (7* А)|<=1 (80 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ9181Г|n-p-n|12,5*Вт|>=100|100|7|3 А (7* А)|<=1 (100 В)|50...250* (1 В; 0,15 А)|-|<=0,4|-|-
КТ918А-2|n-p-n|2,5* Вт|>=800|30|2,5|250|<=2 мА (30 В)|-|<=4,2 (15 В)|>=2**|>=0,25** (3 ГГц)|<=15
КТ918Б-2|n-p-n|2,5* Вт|>=1000|30|2,5|250|<=2 мА (30 В)|-|<=4,2 (15 В)|>=2**|>=0,5** (3 ГГц)|<=4
КТ9182А|n-p-n|300* Вт|-|55* (10 Ом)|3|24 А|<=200 мА (55 В)|-|-|>=3** (860 МГц)|>=150** (860 МГц)|-
КТ919А|n-p-n|10* Вт|>=1350|45|3.5|0,7 (1,5*) А|<=10 мА (45 В)|-|<=10 (28 В)|-|>=3,5** (2 ГГц)|<=2,2
КТ919Б|n-p-n|5* Вт|>=1350|45|3,5|0,35 (0,7*) А|<=5 мА (45 В)|-|<=6,5 (28 В)|-|>=1,6** (2 ГГц)|<=2,2
КТ919В|n-p-n|3,25* Вт|>=1350|45|3,5|0,2 (0,4*) А|<=2 мА (45 В)|-|<=5 (28 В)|-|>=0,8** (2 ГГц)|<=2,2
КТ919Г|n-p-n|10* Вт|>=1350|45|3,5|0,7 (1,5*) А|<=10 мА (45 В)|-|<=12 (28 В)|-|>=3** (2 ГГц)|<=2,2
КТ920А|n-p-n|5* Вт (50°С)|>=400|36|4|0,25 (1*) А|<=2* мА (36 В)|-|<=15 (10 В)|>=7**|>=2** (175 МГц)|<=20
КТ920Б|n-p-n|10* Вт (50°С)|>=400|36|4|1 (2*) А|<=4* мА (36 В)|-|<=25 (10 В)|>=4,5**|>=5** (175 МГц)|<=20
КТ920В|n-p-n|25* Вт (50°С)|>=400|36|4|3 (7*) А|<=7,5* мА (36 В)|-|<=75 (10 В)|>=3**|>=20** (175 МГц)|<=20
КТ920Г|n-p-n|25* Вт (50°С)|>=350|36|4|3 (7*) А|<=7,5* (36 В)|-|<=75 (10 В)|>=3**|>=15** (175 МГц)|<=20
КТ921А|n-p-n|12,5* Bт (75°C)|>=90|65* (0,1 к)|4|3,5 А|<=10* мА (70 В)|>=10* (10 В; 1 А)|<=50 (20 В)|<=1,8; >=8**|>=12,5** (60 МГц)|<=22; <=300*
КТ921Б|n-p-n|12,5* Вт (75°С)|>=90|65* (0,1 к)|4|3,5 А|<=10* мА (70 В)|>=10* (10 В; 1 А)|<=50 (20 В)|<=1,8; >=5**|>=12,5** (60 МГц)|<=22; <=300*
КТ922А|n-p-n|8* Вт (40°С)|>=300|65* (0,1 к)|4|0,8 (1,5*) А|<=5* мА (65 В)|-|<=15 (28 В)|>=10**|>=5** (175 МГц)|<=20
