Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ361Б-2|p-n-p|150|>=250|20|5|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
КТ361В-2|p-n-p|150|>=250|40|5|50|<=1 (10 B)|40...160 (10 В; 1 мА)|<=7 (10 В)|<=20|<=40*|<=1000
КТ361Г-2|p-n-p|150|>=250|35|5|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=20|<=40*|<=500
КТ361Г-3|p-n-p|150|>=250|35|5|50|<=1 (10 B)|100...350 (10 В; 1 мА)|<=9 (10 В)|<=20|<=40*|<=500
КТ361Д-2|p-n-p|150|>=250|40|5|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=7 (10 В)|<=50|-|<=250
КТ361Д-3|p-n-p|150|>=150|40|5|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=9 (10 В)|<=50|-|<=250
КТ361Е-2|p-n-p|15.0|>=250|35|5|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=50|-|<=1000
КТ361Ж-2|p-n-p|150|>=250|10|5|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|<=50|-|<=100
КТ361И-2|p-n-p|150|>=250|15|5|50|<=1 (10 B)|250 (10 В; 1 мА)|<=9 (10 В)|<=20|-|<=1000
КТ361К-2|p-n-p|150|>=250|60|5|50|<=1 (10 B)|50...350 (10 В; 1 мА)|<=7 (10 В)|<=20|-|<=500
КТ361Л-2|p-n-p|150|>=250|20|5|100|<=1 (10 B)|50...350 (10 В; 1 мА)|<=9 (10 В)|-|-|-
КТ361М-2|p-n-p|150|>=250|40|5|100|<=1 (10 B)|70...160 (10 В; 1 мА)|<=7 (10 В)|-|-|-
КТ361Н-2|p-n-p|150|>=150|45|5|50|<=1 (10 B)|20...90 (10 В; 1 мА)|<=7 (10 В)|-|-|-
КТ361П-2|p-n-p|150|>=300|50|5|50|<=1 (10 B)|100...350 (10 В; 1 мА)|<=7 (10 В)|-|-|-
